variable,male_n,male_mean,male_sd,female_n,female_mean,female_sd,mean_difference,welch_t,welch_p,mann_whitney_p,hedges_g
Nasal width (mm),100,38.093999999999994,3.2941782133045114,99,34.8010101010101,2.930489788048427,3.2929898989898945,7.452163224556935,2.925416360159943e-12,1.927521260406491e-12,1.0519066192217563
Nasal height (mm),100,50.141999999999996,4.174352910598507,99,46.74646464646465,3.7371743426839115,3.395535353535344,6.046822169737205,7.394558010601859e-09,2.3118056352667584e-07,0.8535634142948825
Recomputed nasal index,100,76.35555466462804,7.962702376942091,99,74.79706631175581,7.399502907397026,1.5584883528722315,1.4304059432069582,0.15419103849312912,0.161648039998189,0.20195237393754864
