name,auc,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,brier,auc_95ci_low,auc_95ci_high
Logistic regression,0.8109090909090909,0.7336683417085427,0.7336868686868687,0.73,0.7373737373737373,0.7373737373737373,0.7336683417085427,0.4673737373737374,0.17665220783803695,0.7540353358547183,0.860967794581656
LDA,0.8117171717171717,0.7286432160804021,0.7286868686868686,0.72,0.7373737373737373,0.7346938775510204,0.7272727272727273,0.45741994374223166,0.17675279424757834,0.7550651900415716,0.8612251428911646
Linear SVM,0.8122222222222222,0.7336683417085427,0.7336868686868687,0.73,0.7373737373737373,0.7373737373737373,0.7336683417085427,0.4673737373737374,0.17732953046945285,0.7572074360016254,0.8624976915991186
Random forest,0.7822222222222223,0.6934673366834171,0.6937878787878788,0.63,0.7575757575757576,0.7241379310344828,0.6737967914438503,0.3906659535928507,0.18827192666698422,0.7180204104746012,0.8394406973487677
Gradient boosting,0.7682323232323233,0.678391959798995,0.6784848484848485,0.66,0.696969696969697,0.6875,0.673469387755102,0.3571862391169818,0.19430093324220743,0.7046756441230067,0.8265501418922232
