name,auc,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,brier,auc_95ci_low,auc_95ci_high
NI only,0.5367676767676768,0.5226130653266332,0.5225757575757576,0.53,0.5151515151515151,0.5247524752475248,0.527363184079602,0.045156076601761824,0.2501980698056804,0.4563072648480799,0.6149930943347286
NW only,0.7861616161616162,0.6984924623115578,0.6985858585858586,0.68,0.7171717171717171,0.7083333333333334,0.6938775510204082,0.39741264635200124,0.19028619177917738,0.7197323975898484,0.8434366601797795
NH only,0.7075757575757575,0.628140703517588,0.6281818181818182,0.62,0.6363636363636364,0.6326530612244898,0.6262626262626263,0.25638953560463423,0.21409870056057567,0.6349439904664624,0.7750937072596557
NW + NH,0.8086868686868686,0.7336683417085427,0.7336868686868687,0.73,0.7373737373737373,0.7373737373737373,0.7336683417085427,0.4673737373737374,0.1778532206952801,0.7458502024291498,0.8635668164875222
NW + NH + NI,0.8082828282828283,0.7336683417085427,0.7336868686868687,0.73,0.7373737373737373,0.7373737373737373,0.7336683417085427,0.4673737373737374,0.17779415877100804,0.7451769631496171,0.8639678724951346
